Date,Close/Last,Volume,Open,High,Low
04/09/2025,80.76,20220120,73.86,81.165,73.75
04/08/2025,74.27,13748680,78.42,78.66,73.12
04/07/2025,76.63,25121950,76.15,79.87,74.24
04/04/2025,77.88,14694900,81.09,81.28,77.69
04/03/2025,83.08,9479316,84.22,84.78,82.86
04/02/2025,87.01,5931919,85.50,87.125,85.50
04/01/2025,86.30,6098811,85.76,86.34,84.99
03/31/2025,85.98,4440930,84.75,86.39,84.065
03/28/2025,85.05,4573827,86.85,86.88,84.94
03/27/2025,86.64,3024619,86.43,86.94,85.83
03/26/2025,86.68,4080582,86.61,87.20,86.26
03/25/2025,86.52,3811125,86.81,86.9875,86.15
03/24/2025,86.54,4602572,86.25,86.71,85.94
03/21/2025,85.79,8404357,85.93,85.93,84.73
03/20/2025,86.65,3803072,86.94,87.39,86.53
03/19/2025,87.20,5126788,86.98,87.525,86.375
03/18/2025,86.91,5011996,87.42,87.42,86.565
03/17/2025,87.06,4307615,85.80,87.33,85.80
03/14/2025,85.98,4753687,85.57,86.105,85.22
03/13/2025,84.87,5141514,84.99,85.86,84.34
03/12/2025,84.93,6303559,85.56,85.68,84.545
03/11/2025,85.33,7713058,86.14,86.21,84.845
03/10/2025,85.99,8336590,87.04,87.54,85.385
03/07/2025,87.82,7827296,87.19,88.185,86.78
03/06/2025,87.58,9246886,87.60,88.42,87.105
03/05/2025,88.04,8684341,86.60,88.27,86.47
03/04/2025,85.80,11259360,87.18,87.18,85.675
03/03/2025,86.98,8441551,89.59,89.91,86.7701
02/28/2025,88.76,4658277,88.35,88.83,87.67
02/27/2025,88.01,3544476,88.65,89.21,87.95
02/26/2025,88.61,3982585,88.97,89.44,88.52
02/25/2025,88.65,4640632,88.03,88.93,87.95
02/24/2025,87.97,4727220,88.29,88.48,87.72
02/21/2025,88.07,4977144,89.89,89.90,87.97
02/20/2025,89.71,4934330,89.68,90.03,89.125
02/19/2025,89.92,3804021,89.89,90.20,89.605
02/18/2025,90.99,3557951,90.10,90.99,89.55
02/14/2025,89.85,4815756,90.42,90.87,89.83
02/13/2025,90.16,5215468,89.11,90.265,88.99
02/12/2025,88.62,5513610,88.06,89.07,87.76
02/11/2025,89.26,4720918,89.02,89.83,88.885
02/10/2025,88.74,4475478,88.93,89.03,88.265
02/07/2025,88.29,6772934,89.15,89.285,88.20
02/06/2025,89.38,7651586,89.13,89.61,88.68
02/05/2025,89.07,7097123,88.76,89.50,88.47
02/04/2025,89.14,9859194,89.17,89.5059,88.89
02/03/2025,88.88,10624880,87.89,89.135,86.93
01/31/2025,88.79,6951359,89.33,89.60,88.425
01/30/2025,89.44,6199154,88.42,89.50,88.2601
01/29/2025,88.60,4510226,88.42,89.02,88.38
01/28/2025,88.76,4643874,89.26,89.27,88.56
01/27/2025,89.05,6469453,88.82,89.13,88.3101
01/24/2025,89.00,3150105,89.63,89.66,88.905
01/23/2025,89.23,4284373,88.74,89.23,88.27
01/22/2025,88.74,5947135,89.56,89.59,88.72
01/21/2025,89.46,5174001,89.16,89.71,89.04
01/17/2025,88.33,5794592,88.34,88.90,88.00
01/16/2025,87.76,5775459,87.11,87.77,86.87
01/15/2025,87.04,6282069,87.47,87.70,86.47
01/14/2025,86.22,6542320,85.64,86.285,85.415
01/13/2025,85.16,10007350,83.22,85.205,83.15
01/10/2025,83.30,9276803,83.57,83.91,83.08
