Date,Close/Last,Volume,Open,High,Low
04/09/2025,79.31,39358900,75.965,79.94,75.835
04/08/2025,76.35,26842520,78.71,78.975,75.605
04/07/2025,77.55,45133950,76.60,79.38,76.16
04/04/2025,78.46,35619550,81.58,82.04,78.46
04/03/2025,82.02,20746480,81.75,82.82,81.35
04/02/2025,81.55,9218956,81.83,82.06,81.18
04/01/2025,81.79,11201250,81.86,82.01,81.32
03/31/2025,81.67,14299150,80.53,81.92,80.53
03/28/2025,80.41,12493230,80.92,81.10,80.1107
03/27/2025,80.81,9253349,80.13,80.97,80.07
03/26/2025,79.90,11492430,78.85,80.08,78.85
03/25/2025,78.68,12703420,79.26,79.365,78.425
03/24/2025,79.40,9586592,79.03,79.48,78.96
03/21/2025,79.33,11926210,79.30,79.5299,78.99
03/20/2025,79.36,10954530,79.63,79.915,79.24
03/19/2025,79.75,12042920,79.57,79.83,79.14
03/18/2025,79.75,9461101,80.61,80.71,79.70
03/17/2025,80.67,12470280,79.65,80.91,79.58
03/14/2025,79.51,10251390,79.15,79.58,78.88
03/13/2025,79.33,18077740,79.80,80.12,79.18
03/12/2025,79.70,22000870,80.675,80.98,79.62
03/11/2025,81.47,27913660,82.51,82.58,81.41
03/10/2025,82.68,27412670,82.99,84.35,82.36
03/07/2025,82.86,19631090,82.06,83.43,82.035
03/06/2025,82.59,13729690,82.13,82.795,81.94
03/05/2025,82.44,13772980,81.94,82.75,81.81
03/04/2025,82.10,21845910,83.36,84.14,82.05
03/03/2025,83.52,18918890,82.68,83.82,82.68
02/28/2025,83.08,15164210,82.69,83.13,82.135
02/27/2025,81.99,16614020,81.64,82.43,81.62
02/26/2025,82.00,19969520,83.28,83.36,81.85
02/25/2025,83.60,18197970,82.69,83.88,82.69
02/24/2025,82.43,14114230,81.85,82.81,81.81
02/21/2025,82.18,18203260,81.23,82.25,80.98
02/20/2025,81.23,14264250,80.56,81.23,80.43
02/19/2025,81.55,6450823,81.09,81.58,80.89
02/18/2025,80.90,10432770,80.35,80.915,79.90
02/14/2025,80.61,10470430,81.375,81.425,80.59
02/13/2025,81.42,10132270,80.76,81.49,80.54
02/12/2025,80.55,10564120,79.92,80.645,79.87
02/11/2025,80.61,9157217,79.96,80.63,79.67
02/10/2025,79.84,7949646,79.56,79.85,79.06
02/07/2025,79.35,8104061,79.49,79.68,79.12
02/06/2025,79.47,9846348,80.15,80.165,79.215
02/05/2025,79.11,8847897,78.61,79.13,78.195
02/04/2025,78.62,9307813,79.02,79.10,78.295
02/03/2025,79.29,13340840,78.41,79.45,78.23
01/31/2025,78.98,10269000,79.03,79.57,78.93
01/30/2025,79.73,8191980,79.34,79.90,79.18
01/29/2025,78.95,10195400,78.88,79.30,78.81
01/28/2025,78.76,11665180,79.76,80.10,78.60
01/27/2025,80.01,17519900,78.69,80.16,78.675
01/24/2025,77.90,6685652,77.47,77.93,77.43
01/23/2025,77.50,7562459,77.11,77.53,76.80
01/22/2025,77.22,8357873,77.95,77.95,77.15
01/21/2025,77.60,8849489,77.39,77.895,77.31
01/17/2025,77.24,10525010,76.94,77.40,76.85
01/16/2025,76.80,11223400,76.08,76.875,75.805
01/15/2025,76.23,11427000,76.91,77.15,76.11
01/14/2025,76.49,7763782,76.56,76.6512,76.13
01/13/2025,76.47,9490917,76.40,76.66,76.055
01/10/2025,76.34,13943590,76.89,77.325,76.24
01/08/2025,77.38,9277400,77.16,77.455,76.67
01/07/2025,77.24,11113100,77.71,78.16,77.13
01/06/2025,77.51,9275738,78.42,78.435,77.415
01/03/2025,78.33,6991939,78.52,78.70,78.045
01/02/2025,78.37,9322777,78.78,79.14,78.11
12/31/2024,78.61,6125534,78.53,78.86,78.16
12/30/2024,78.37,7249346,78.96,79.01,78.12
12/27/2024,79.30,6601702,79.32,79.72,79.005
12/26/2024,79.69,4253678,79.29,79.74,79.22
12/24/2024,79.44,3932582,78.85,79.485,78.74
12/23/2024,78.92,11469080,79.05,79.23,78.155
12/20/2024,79.94,11035440,79.62,80.40,79.35
