Date,Close/Last,Volume,Open,High,Low
04/09/2025,39.21,27138880,36.46,39.385,35.76
04/08/2025,37.08,16319470,38.89,38.985,36.645
04/07/2025,38.02,25297270,38.30,39.48,37.17
04/04/2025,38.96,15419820,40.62,40.62,38.915
04/03/2025,40.82,11584750,41.66,42.06,40.76
04/02/2025,42.08,4656978,41.81,42.175,41.60
04/01/2025,41.88,5903364,41.99,42.08,41.37
03/31/2025,41.85,7736826,41.53,42.115,41.47
03/28/2025,41.41,4905635,41.61,41.65,41.165
03/27/2025,41.43,3586712,41.59,41.9201,41.325
03/26/2025,41.53,3717793,41.51,41.725,41.3441
03/25/2025,41.32,4660831,41.82,41.83,41.08
03/24/2025,41.82,4457783,41.50,41.905,41.31
03/21/2025,41.51,6237861,41.73,41.80,41.245
03/20/2025,41.92,3452764,41.97,42.16,41.74
03/19/2025,41.97,3919062,41.95,42.2873,41.615
03/18/2025,41.92,4860358,42.18,42.39,41.76
03/17/2025,42.18,4422807,41.46,42.325,41.46
03/14/2025,41.45,4548151,41.045,41.485,40.80
03/13/2025,40.66,6167159,41.48,41.71,40.6025
03/12/2025,41.47,6013571,41.69,41.815,41.34
03/11/2025,41.62,7103513,42.17,42.315,41.385
03/10/2025,42.06,9447870,42.43,42.89,41.86
03/07/2025,42.47,7083678,42.31,42.6365,41.94
03/06/2025,42.23,7954320,43.06,43.15,42.165
03/05/2025,43.42,5564280,42.55,43.535,42.54
03/04/2025,43.02,9765763,43.56,43.8613,42.92
03/03/2025,43.52,9874266,43.30,43.7458,43.17
02/28/2025,43.15,5771512,43.06,43.245,42.68
02/27/2025,42.85,4040663,42.67,43.08,42.59
02/26/2025,42.66,5472169,42.95,43.045,42.535
02/25/2025,42.87,5698159,42.56,43.08,42.55
02/24/2025,42.42,4435227,42.30,42.645,42.07
02/21/2025,42.23,5072118,42.59,42.65,42.02
02/20/2025,42.58,3947349,42.29,42.65,42.055
02/19/2025,42.29,4405686,42.03,42.3865,41.965
02/18/2025,42.21,5622232,41.95,42.385,41.92
02/14/2025,42.06,4528108,42.35,42.49,42.05
02/13/2025,42.23,7069078,41.81,42.34,41.67
02/12/2025,41.90,6834399,41.43,42.05,41.43
02/11/2025,42.26,3276329,41.83,42.27,41.765
02/10/2025,42.03,3907698,42.06,42.095,41.645
02/07/2025,41.97,5337374,42.23,42.265,41.78
02/06/2025,42.12,3680994,42.24,42.25,41.8201
02/05/2025,42.00,4357234,41.83,42.105,41.41
02/04/2025,41.35,4559328,41.07,41.4565,40.92
02/03/2025,41.35,7439614,41.08,41.51,40.68
01/31/2025,41.42,4730339,41.38,41.83,41.29
01/30/2025,41.51,4481505,41.60,41.82,41.1444
01/29/2025,40.97,3945741,41.50,41.58,40.7801
01/28/2025,41.45,4366324,41.90,41.90,41.31
01/27/2025,41.96,11135840,41.50,42.005,41.41
01/24/2025,41.55,4038944,41.29,41.84,41.26
01/23/2025,41.43,3916238,41.19,41.44,40.795
01/22/2025,41.10,5837092,41.75,41.75,41.06
01/21/2025,41.83,6105680,41.26,41.87,41.24
01/17/2025,41.08,4913492,41.21,41.31,41.06
01/16/2025,41.09,5600941,40.29,41.125,40.155
01/15/2025,40.19,6511074,41.06,41.15,40.14
01/14/2025,40.02,5022132,39.81,40.11,39.71
01/13/2025,39.68,5769421,39.13,39.689,39.05
01/10/2025,39.18,8343224,39.52,39.62,39.145
01/08/2025,40.15,6312798,40.01,40.17,39.615
01/07/2025,39.98,8867779,40.42,40.635,39.885
01/06/2025,40.28,5980423,40.86,40.99,40.2201
01/03/2025,40.84,5128577,40.38,40.90,40.25
01/02/2025,40.29,9786451,40.72,40.77,40.17
12/31/2024,40.67,7590697,40.67,40.75,40.28
12/30/2024,40.35,4493628,40.43,40.45,39.925
12/27/2024,40.54,4589111,40.63,40.99,40.40
12/26/2024,40.87,4044817,40.70,40.94,40.50
12/24/2024,40.81,2812129,40.39,40.84,40.36
12/23/2024,40.54,6917309,40.21,40.60,40.08
12/20/2024,40.79,9792575,40.25,41.22,40.15
12/19/2024,40.06,8386861,40.80,41.09,40.01
12/18/2024,40.76,9802601,42.28,42.49,40.71
12/17/2024,42.42,5319122,42.40,42.805,42.27
12/16/2024,42.61,3642957,42.85,43.14,42.59
12/13/2024,42.83,3833363,42.97,43.07,42.74
12/12/2024,43.01,3418107,42.99,43.48,42.93
12/11/2024,43.04,4988955,43.27,43.39,42.92
12/10/2024,43.15,4090583,43.79,43.79,43.015
12/09/2024,43.86,5211017,43.85,43.9949,43.685
12/06/2024,43.77,3624679,43.95,44.08,43.565
12/05/2024,43.83,2971681,43.68,43.8604,43.55
12/04/2024,43.94,3315789,44.06,44.09,43.69
12/03/2024,44.06,4164874,44.36,44.45,44.03
12/02/2024,44.32,4837608,44.75,44.83,44.16
11/29/2024,45.00,3737545,45.24,45.43,44.975
11/27/2024,45.21,3531539,45.11,45.4821,45.10
11/26/2024,44.90,3183755,44.63,44.98,44.465
11/25/2024,44.68,4626025,44.36,44.88,44.32
11/22/2024,44.09,3333922,43.93,44.17,43.89
11/21/2024,43.76,3070245,43.51,43.905,43.32
11/20/2024,43.47,3198672,43.29,43.53,43.13
11/19/2024,43.54,3693070,43.23,43.67,43.045
11/18/2024,43.36,3812011,42.79,43.37,42.68
11/15/2024,42.98,5875692,42.73,43.059,42.605
11/14/2024,42.93,4860408,43.25,43.25,42.875
11/13/2024,43.32,5095176,43.46,43.65,43.245
11/12/2024,42.98,4972057,43.42,43.5801,42.965
11/11/2024,43.53,7899374,43.85,44.0599,43.49
11/08/2024,43.91,7348105,43.37,44.035,43.32
11/07/2024,43.17,10597920,42.80,43.29,42.72
11/06/2024,42.64,12721590,43.42,43.66,42.19
11/05/2024,43.81,4747538,43.11,43.82,42.875
11/04/2024,43.22,6509860,42.92,43.29,42.875
11/01/2024,42.74,6141428,43.49,43.545,42.71
10/31/2024,43.20,5866307,43.50,43.89,43.19
10/30/2024,43.97,5513807,43.85,44.29,43.79
