Date,Close/Last,Volume,Open,High,Low
04/09/2025,75.97,35027450,72.46,76.165,71.02
04/08/2025,73.09,19800250,74.70,75.23,72.24
04/07/2025,73.39,36581470,73.39,75.64,71.775
04/04/2025,74.53,33082710,79.29,79.29,74.04
04/03/2025,78.92,19325080,79.32,80.21,78.82
04/02/2025,79.42,6475586,78.99,79.60,78.59
04/01/2025,79.05,9042354,78.80,79.28,78.285
03/31/2025,78.85,10734970,78.10,79.165,78.08
03/28/2025,77.98,9539289,77.88,78.465,77.74
03/27/2025,77.41,6985925,77.36,78.05,77.1775
03/26/2025,77.43,7582321,76.93,77.61,76.93
03/25/2025,76.92,11197980,78.09,78.11,76.555
03/24/2025,78.17,6998419,78.50,79.12,78.10
03/21/2025,78.75,7813884,78.95,79.33,78.26
03/20/2025,79.26,8207572,78.95,79.38,78.78
03/19/2025,78.94,8081767,78.69,79.05,78.41
03/18/2025,78.65,9642761,78.73,78.87,78.14
03/17/2025,79.20,9645216,78.85,79.655,78.46
03/14/2025,78.87,9134951,77.59,78.96,77.31
03/13/2025,77.36,8400896,77.43,77.68,76.87
03/12/2025,77.17,8716191,77.40,77.85,76.70
03/11/2025,77.41,16320190,78.10,78.40,77.00
03/10/2025,78.14,18682980,77.02,78.37,77.02
03/07/2025,77.29,11617220,76.05,77.63,75.83
03/06/2025,75.88,12702950,76.89,76.96,75.66
03/05/2025,77.49,10333350,77.52,78.04,76.855
03/04/2025,78.04,11280920,79.33,79.75,77.92
03/03/2025,79.33,9638155,79.14,79.58,78.80
02/28/2025,79.22,10884990,78.54,79.25,78.12
02/27/2025,78.03,12537640,79.58,79.7587,77.95
02/26/2025,79.80,7710965,79.62,80.50,79.36
02/25/2025,79.47,10918950,79.40,79.63,78.32
02/24/2025,79.87,7486963,80.50,80.51,79.51
02/21/2025,80.27,7773743,80.26,80.53,79.88
02/20/2025,80.25,8695668,80.00,80.44,79.29
02/19/2025,80.26,6256979,79.75,80.495,79.67
02/18/2025,79.84,7754933,79.43,79.97,79.16
02/14/2025,79.10,6986147,79.39,80.03,79.045
02/13/2025,79.43,8510352,79.40,79.585,78.945
02/12/2025,79.25,7444465,78.37,79.44,78.02
02/11/2025,79.39,5418113,78.68,79.425,78.02
02/10/2025,78.99,5332216,78.36,79.02,77.925
02/07/2025,78.14,7165378,78.28,78.835,78.045
02/06/2025,78.30,6410448,78.73,78.73,77.74
02/05/2025,78.39,7996492,78.38,78.92,77.7407
02/04/2025,77.61,10249170,77.85,77.9752,76.83
02/03/2025,78.30,14059480,76.85,78.59,76.73
01/31/2025,77.88,9835376,78.41,78.48,77.70
01/30/2025,78.34,9356339,77.63,78.46,77.56
01/29/2025,76.74,9565457,76.56,77.62,76.48
01/28/2025,76.58,14270480,77.61,77.61,75.90
01/27/2025,77.65,21224080,77.89,78.085,75.825
01/24/2025,79.49,8385099,78.57,79.72,78.40
01/23/2025,78.69,10792600,78.61,79.255,78.475
01/22/2025,78.32,11822430,80.27,80.27,78.275
01/21/2025,80.05,10816680,79.73,80.445,79.525
01/17/2025,78.84,7334541,78.68,79.20,78.43
01/16/2025,78.73,15207530,76.75,78.755,76.72
01/15/2025,76.79,10680300,77.00,77.55,76.705
01/14/2025,75.68,9837592,74.99,75.91,74.7995
01/13/2025,74.70,12445820,75.50,75.58,73.91
01/10/2025,75.58,15608480,76.25,76.84,75.22
01/08/2025,76.01,13422950,75.90,76.09,74.76
01/07/2025,76.03,11428230,76.48,76.81,75.835
01/06/2025,76.22,12811890,77.08,77.14,75.965
01/03/2025,77.08,8883928,76.71,77.4863,76.38
01/02/2025,76.27,12052440,76.24,76.66,75.72
12/31/2024,75.69,6302743,75.91,76.14,75.33
12/30/2024,75.76,8435097,75.74,75.95,75.065
12/27/2024,76.08,6902655,75.90,76.30,75.59
12/26/2024,76.30,5057066,76.16,76.51,75.99
12/24/2024,76.48,4505133,76.06,76.4999,75.83
12/23/2024,76.06,10057200,75.61,76.12,74.87
12/20/2024,76.43,12594340,74.80,76.60,74.7004
12/19/2024,75.23,13539750,74.96,76.075,74.94
12/18/2024,74.89,14905880,76.65,76.76,74.84
12/17/2024,76.70,7938583,76.54,77.02,76.39
12/16/2024,77.02,8060464,77.71,77.91,76.99
12/13/2024,77.64,6904341,77.70,78.045,77.51
12/12/2024,77.59,7712456,78.00,78.245,77.52
12/11/2024,77.63,7379763,78.33,78.385,77.49
12/10/2024,78.12,10159490,78.56,78.56,77.49
12/09/2024,78.69,10526890,79.69,79.80,78.64
12/06/2024,79.69,7114327,80.73,80.92,79.54
12/05/2024,80.69,7113044,80.53,81.14,80.32
12/04/2024,80.44,12084960,80.70,80.90,80.13
12/03/2024,80.45,9426843,81.64,81.90,80.43
12/02/2024,81.15,11042130,82.92,82.95,81.12
11/29/2024,82.93,4617442,83.17,83.23,82.75
11/27/2024,82.90,8578251,83.15,83.41,82.815
11/26/2024,82.90,8687393,81.83,82.9498,81.62
11/25/2024,81.60,7126923,82.10,82.25,80.995
11/22/2024,81.45,7880658,82.15,82.27,81.42
11/21/2024,81.89,10882030,80.61,81.99,80.225
11/20/2024,80.49,6098430,80.60,80.87,80.09
11/19/2024,80.45,5875205,79.64,80.46,79.26
11/18/2024,79.94,7331218,79.18,80.155,79.0814
11/15/2024,79.25,11965800,78.14,79.345,77.99
