Date,Close/Last,Volume,Open,High,Low
04/09/2025,195.54,14659260,176.04,196.145,175.75
04/08/2025,176.34,8704075,187.44,188.46,173.96
04/07/2025,180.63,20616980,175.85,189.22,173.1001
04/04/2025,182.79,12643190,184.62,189.35,181.69
04/03/2025,191.03,6898131,192.28,194.93,190.13
04/02/2025,203.31,4677993,195.93,204.49,195.7601
04/01/2025,199.52,5548742,197.21,201.13,196.14
03/31/2025,197.46,5110459,193.19,198.13,191.81
03/28/2025,197.04,4943331,202.19,202.51,196.45
03/27/2025,203.36,3368548,202.59,206.43,202.08
03/26/2025,203.23,3093845,205.48,205.93,202.06
03/25/2025,205.92,3710682,204.78,206.04,203.55
03/24/2025,204.29,4284199,199.75,204.47,199.75
03/21/2025,197.45,4897426,194.39,197.56,193.38
03/20/2025,196.74,4293234,195.76,199.255,195.60
03/19/2025,197.21,4915706,194.85,198.33,194.38
03/18/2025,193.50,4123455,195.17,195.18,192.70
03/17/2025,197.01,3026599,196.72,198.13,195.31
03/14/2025,196.70,3147802,195.55,196.91,193.85
03/13/2025,192.60,4996553,197.23,197.23,191.69
03/12/2025,197.53,4274190,199.79,199.99,195.12
03/11/2025,196.39,7189786,198.22,199.915,194.39
03/10/2025,198.33,7206342,202.94,203.22,196.58
03/07/2025,205.67,4899448,204.78,206.25,200.27
03/06/2025,206.05,4877719,208.28,209.79,205.14
03/05/2025,211.41,5064064,208.39,211.79,207.47
03/04/2025,208.24,6921407,208.37,211.86,205.49
03/03/2025,211.98,5491764,217.22,218.37,209.72
02/28/2025,215.96,3848168,212.51,216.10,211.66
02/27/2025,212.43,3399576,216.54,217.14,212.26
02/26/2025,215.54,3071861,217.89,219.11,215.08
02/25/2025,216.43,4003193,217.45,217.95,213.41
02/24/2025,217.57,2976786,219.37,219.69,216.66
02/21/2025,218.39,4521473,224.82,224.885,217.52
02/20/2025,224.29,2366172,225.62,225.62,222.57
02/19/2025,226.24,1998193,225.32,226.36,224.88
02/18/2025,226.37,3783725,226.94,227.2389,224.915
02/14/2025,227.00,1712797,228.72,228.92,226.22
02/13/2025,227.10,3242587,225.19,227.325,224.79
02/12/2025,223.74,3951722,222.11,224.90,221.52
02/11/2025,223.78,2769408,224.91,225.54,223.225
02/10/2025,226.35,2981852,226.48,227.57,225.44
02/07/2025,225.58,2768250,228.52,230.26,225.40
02/06/2025,230.08,3023255,229.82,230.69,228.67
02/05/2025,229.17,2951570,230.31,230.88,228.63
02/04/2025,231.80,1993527,229.24,232.03,229.21
02/03/2025,229.10,3730069,227.14,230.09,225.21
01/31/2025,232.17,2546388,233.49,235.85,231.72
01/30/2025,233.20,2693211,234.01,234.57,231.45
01/29/2025,230.94,3269081,231.79,232.50,230.18
01/28/2025,231.60,2605889,230.65,232.24,229.55
01/27/2025,231.32,3534932,226.56,231.42,226.55
01/24/2025,230.01,1771911,231.47,231.71,229.565
01/23/2025,231.42,1944382,229.69,231.42,229.08
01/22/2025,230.03,2474403,230.41,231.39,229.64
01/21/2025,230.90,3018494,231.29,231.50,228.37
01/17/2025,229.22,1942339,229.03,230.66,228.66
01/16/2025,226.05,2425986,226.89,226.89,225.15
01/15/2025,227.28,3098776,226.75,227.47,225.18
01/14/2025,221.64,3381229,224.30,225.47,220.81
01/13/2025,222.07,2711005,219.14,222.10,218.30
01/10/2025,220.82,3434810,222.16,222.54,219.62
01/08/2025,223.01,2654877,222.30,223.89,221.18
01/07/2025,222.38,2777007,226.58,227.25,221.57
01/06/2025,226.77,3393135,228.32,228.49,225.54
01/03/2025,225.88,3250769,222.64,226.02,221.52
01/02/2025,221.40,4583242,224.44,225.12,219.99
12/31/2024,224.35,2625399,227.28,227.95,223.97
12/30/2024,226.05,2706597,226.25,227.5092,224.63
12/27/2024,229.74,3048693,232.05,232.05,228.63
12/26/2024,233.60,2055415,233.97,234.45,232.57
12/24/2024,234.47,1276273,230.14,234.50,229.945
12/23/2024,229.17,2961256,228.89,229.40,226.18
12/20/2024,228.91,5458147,226.04,232.51,225.50
12/19/2024,228.33,6602627,231.76,232.418,226.965
12/18/2024,228.64,7202518,237.53,240.28,227.71
12/17/2024,239.43,5110481,239.76,239.93,237.45
12/16/2024,238.68,3007198,236.71,238.85,236.25
12/13/2024,235.49,2691256,234.49,235.589,233.90
12/12/2024,234.56,2436188,236.40,236.66,234.26
