Date,XLB,XLU,XLV,XLE,XLF,XLP,XLRE,XLK,XLI,XLY,FFR,Mortgage30Y,Florida_ZHVI,Arizona_ZHVI
2015-10-08,43.38,43.43,67.54,67.96,18.9732,48.7,30.01,40.95,52.2,76.36,0.12,3.76,182181.05744631763,204064.96781247252
2015-10-09,44.53,43.99,68.24,69.54,19.2025,49.44,30.2,41.42,53.76,77.65,0.12,3.76,182181.05744631763,204064.96781247252
2015-10-12,44.24,43.95,68.14,69.05,19.0305,49.48,30.4199,41.57,53.34,77.77,0.12,3.76,182181.05744631763,204064.96781247252
2015-10-13,43.47,44.14,68.31,67.53,18.9895,49.5,30.16,41.31,53.0,77.83,0.12,3.76,182181.05744631763,204064.96781247252
2015-10-14,43.61,44.28,68.12,67.19,18.9158,49.2,30.16,41.32,52.65,77.67,0.12,3.76,182181.05744631763,204064.96781247252
2015-10-15,43.99,44.24,67.26,67.61,18.8585,49.02,30.03,41.53,52.63,77.31,0.12,3.82,182181.05744631763,204064.96781247252
2015-10-16,44.28,44.76,69.33,69.38,19.2353,49.2,30.5958,42.0,53.0,77.85,0.12,3.82,182181.05744631763,204064.96781247252
2015-10-19,43.79,44.74,69.53,68.54,19.1698,49.63,30.7,41.88,52.35,78.07,0.12,3.82,182181.05744631763,204064.96781247252
2015-10-20,43.73,44.67,69.79,67.72,19.2763,49.84,31.36,41.96,52.44,78.55,0.12,3.82,182181.05744631763,204064.96781247252
2015-10-21,43.85,45.09,69.3,67.75,19.4155,49.73,31.055,42.11,53.03,78.76,0.12,3.82,182181.05744631763,204064.96781247252
2015-10-22,43.98,45.06,68.39,67.58,19.2927,50.03,31.18,42.0,53.19,78.7,0.12,3.79,182181.05744631763,204064.96781247252
2015-10-23,45.07,45.35,68.58,68.1,19.7186,51.0,31.0526,43.7,54.78,80.34,0.12,3.79,182181.05744631763,204064.96781247252
2015-10-26,44.95,44.69,69.16,68.13,19.776,50.74,31.028,43.79,54.54,79.66,0.12,3.79,182181.05744631763,204064.96781247252
2015-10-27,44.39,44.39,69.79,65.67,19.5958,50.48,31.06,43.56,54.09,80.0,0.12,3.79,182181.05744631763,204064.96781247252
2015-10-28,44.39,44.28,70.77,66.25,19.6203,50.72,31.24,43.61,54.14,80.12,0.12,3.79,182181.05744631763,204064.96781247252
2015-10-29,44.91,43.58,71.88,67.0,20.03,50.4,31.03,43.8,54.05,80.46,0.12,3.76,182181.05744631763,204064.96781247252
2015-10-30,45.2,43.6,72.01,67.95,19.9644,50.28,30.95,44.01,54.36,80.96,0.12,3.76,182181.05744631763,204064.96781247252
2015-11-02,45.35,43.72,71.75,67.62,19.776,49.91,30.95,43.73,54.28,81.26,0.12,3.76,183904.5666115398,205762.57767379572
2015-11-03,45.44,43.64,72.67,70.11,19.989,49.89,31.6,43.9,54.85,81.25,0.12,3.76,183904.5666115398,205762.57767379572
2015-11-04,45.66,43.88,72.86,71.47,20.03,50.0,31.52,44.37,54.91,81.79,0.12,3.76,183904.5666115398,205762.57767379572
2015-11-05,45.38,44.07,72.33,70.41,19.9726,49.68,31.28,44.36,54.77,81.24,0.12,3.87,183904.5666115398,205762.57767379572
2015-11-06,44.84,43.07,71.61,69.54,20.4314,49.49,30.38,44.14,54.54,81.2,0.12,3.87,183904.5666115398,205762.57767379572
2015-11-09,45.12,42.06,71.62,69.64,20.2839,48.94,30.0601,44.21,54.59,81.04,0.12,3.87,183904.5666115398,205762.57767379572
2015-11-10,44.86,42.38,71.22,68.82,19.989,48.8,30.11,43.66,54.22,80.19,0.12,3.87,183904.5666115398,205762.57767379572
2015-11-11,44.79,42.86,71.95,69.25,20.2184,48.9,30.105,43.72,54.56,81.23,0.12,3.87,183904.5666115398,205762.57767379572
2015-11-12,44.28,43.0,70.78,66.84,20.0136,48.79,29.86,43.39,54.12,80.08,0.12,3.98,183904.5666115398,205762.57767379572
2015-11-13,43.81,42.75,69.6,66.03,19.6613,48.11,29.82,43.07,53.55,79.32,0.12,3.98,183904.5666115398,205762.57767379572
